,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
6,FUTSTK,ACC,27-Aug-2020,0.0,XX,1409.65,1412.35,1392.0,1407.55,1407.55,1766,12377.56,2530000,8000,10-AUG-2020,
9,FUTSTK,ADANIENT,27-Aug-2020,0.0,XX,194.05,198.75,193.1,196.7,196.7,1878,14716.87,18560000,20000,10-AUG-2020,
12,FUTSTK,ADANIPORTS,27-Aug-2020,0.0,XX,329.95,334.9,326.15,332.2,332.2,2739,22736.64,31685000,-220000,10-AUG-2020,
15,FUTSTK,AMARAJABAT,27-Aug-2020,0.0,XX,728.95,755.95,712.15,753.05,753.05,3630,26888.02,1506000,193000,10-AUG-2020,
18,FUTSTK,AMBUJACEM,27-Aug-2020,0.0,XX,221.75,223.9,219.9,222.65,222.65,1368,9113.76,17400000,3000,10-AUG-2020,
21,FUTSTK,APOLLOHOSP,27-Aug-2020,0.0,XX,1787.4,1787.4,1742.45,1770.8,1770.8,2336,20645.8,1250000,122000,10-AUG-2020,
24,FUTSTK,APOLLOTYRE,27-Aug-2020,0.0,XX,123.25,128.4,123.25,127.8,127.8,2606,16495.82,16155000,-140000,10-AUG-2020,
27,FUTSTK,ASHOKLEY,27-Aug-2020,0.0,XX,50.6,52.1,50.4,51.6,51.6,4318,20055.72,50580000,3933000,10-AUG-2020,
30,FUTSTK,ASIANPAINT,27-Aug-2020,0.0,XX,1810.65,1826.2,1782.6,1789.85,1789.85,5571,30020.85,4954800,-183000,10-AUG-2020,
33,FUTSTK,AUROPHARMA,27-Aug-2020,0.0,XX,914.7,971.4,914.7,953.85,953.85,14345,176693.05,15350400,937300,10-AUG-2020,
36,FUTSTK,AXISBANK,27-Aug-2020,0.0,XX,434.95,438.45,431.05,433.4,433.4,15829,82690.01,55452000,982800,10-AUG-2020,
39,FUTSTK,BAJAJ-AUTO,27-Aug-2020,0.0,XX,3022.4,3033.0,2984.7,3010.1,3010.1,2299,17295.17,1480250,-1250,10-AUG-2020,
42,FUTSTK,BAJAJFINSV,27-Aug-2020,0.0,XX,6518.2,6600.0,6384.65,6427.55,6427.55,5282,42829.0,805625,-37000,10-AUG-2020,
45,FUTSTK,BAJFINANCE,27-Aug-2020,0.0,XX,3504.85,3558.95,3401.2,3433.85,3433.85,30481,265089.2,5408250,487500,10-AUG-2020,
48,FUTSTK,BALKRISIND,27-Aug-2020,0.0,XX,1364.15,1379.75,1349.7,1366.45,1366.45,2042,22359.73,2455200,-70400,10-AUG-2020,
51,FUTSTK,BANDHANBNK,27-Aug-2020,0.0,XX,311.0,313.35,301.0,302.75,302.75,6678,36715.62,26960400,669600,10-AUG-2020,
54,FUTSTK,BANKBARODA,27-Aug-2020,0.0,XX,49.35,49.45,48.0,48.85,48.85,3699,14806.29,45911800,311600,10-AUG-2020,
57,FUTSTK,BATAINDIA,27-Aug-2020,0.0,XX,1245.95,1277.05,1224.5,1239.05,1239.05,8108,55431.99,2636150,130350,10-AUG-2020,
60,FUTSTK,BEL,27-Aug-2020,0.0,XX,104.65,113.5,104.65,108.7,108.7,10164,85033.41,24038800,592800,10-AUG-2020,
63,FUTSTK,BERGEPAINT,27-Aug-2020,0.0,XX,560.75,566.1,547.25,552.65,552.65,2174,13243.07,3971000,190300,10-AUG-2020,
66,FUTSTK,BHARATFORG,27-Aug-2020,0.0,XX,426.75,436.45,418.25,423.0,423.0,5660,36240.52,5601000,592500,10-AUG-2020,
69,FUTSTK,BHARTIARTL,27-Aug-2020,0.0,XX,563.35,566.0,557.1,562.5,562.5,9761,101515.2,80363016,351690,10-AUG-2020,
72,FUTSTK,BHEL,27-Aug-2020,0.0,XX,36.25,37.8,36.05,36.45,36.45,2385,18488.84,47523000,2835000,10-AUG-2020,
75,FUTSTK,BIOCON,27-Aug-2020,0.0,XX,403.85,416.6,401.95,414.8,414.8,5591,52851.23,16233400,545100,10-AUG-2020,
78,FUTSTK,BOSCHLTD,27-Aug-2020,0.0,XX,13660.0,13916.85,13524.45,13642.55,13642.55,869,5959.1,104450,-4050,10-AUG-2020,
81,FUTSTK,BPCL,27-Aug-2020,0.0,XX,421.6,424.85,414.65,416.65,416.65,5287,39871.1,19085400,316800,10-AUG-2020,
84,FUTSTK,BRITANNIA,27-Aug-2020,0.0,XX,3965.0,3995.05,3932.2,3941.5,3941.5,3854,30525.17,1231600,-75800,10-AUG-2020,
87,FUTSTK,CADILAHC,27-Aug-2020,0.0,XX,394.7,412.0,392.8,407.4,407.4,6613,58951.45,9361000,211200,10-AUG-2020,
90,FUTSTK,CANBK,27-Aug-2020,0.0,XX,100.25,102.4,100.1,102.05,102.05,158,802.04,12230000,-785000,10-AUG-2020,
93,FUTSTK,CENTURYTEX,27-Aug-2020,0.0,XX,326.4,329.95,312.4,320.65,320.65,436,1959.72,3239600,-596400,10-AUG-2020,
94,FUTSTK,CHOLAFIN,27-Aug-2020,0.0,XX,210.5,213.5,207.0,209.1,209.1,2584,13535.72,5480000,-47500,10-AUG-2020,
97,FUTSTK,CIPLA,27-Aug-2020,0.0,XX,760.4,816.35,753.5,799.75,799.75,43862,450462.49,15973100,652600,10-AUG-2020,
100,FUTSTK,COALINDIA,27-Aug-2020,0.0,XX,130.25,131.8,129.7,130.05,130.05,2450,11840.3,30395500,876900,10-AUG-2020,
103,FUTSTK,COLPAL,27-Aug-2020,0.0,XX,1465.45,1470.3,1439.85,1452.75,1452.75,985,10004.11,2765000,-22400,10-AUG-2020,
106,FUTSTK,CONCOR,27-Aug-2020,0.0,XX,434.05,436.15,372.35,388.5,388.5,12296,75898.21,6216051,2247594,10-AUG-2020,
109,FUTSTK,CUMMINSIND,27-Aug-2020,0.0,XX,429.9,429.9,412.65,415.65,415.65,1109,5541.52,1890000,105600,10-AUG-2020,
112,FUTSTK,DABUR,27-Aug-2020,0.0,XX,514.9,527.7,507.7,509.55,509.55,6846,44358.28,10721250,65000,10-AUG-2020,
115,FUTSTK,DIVISLAB,27-Aug-2020,0.0,XX,3069.0,3228.9,3069.0,3133.25,3133.25,19586,247128.51,3750400,140800,10-AUG-2020,
118,FUTSTK,DLF,27-Aug-2020,0.0,XX,142.9,150.95,142.5,149.25,149.25,7119,34702.4,25492500,841500,10-AUG-2020,
121,FUTSTK,DRREDDY,27-Aug-2020,0.0,XX,4630.3,4764.1,4622.5,4712.4,4712.4,7555,88831.36,3228500,90250,10-AUG-2020,
124,FUTSTK,EICHERMOT,27-Aug-2020,0.0,XX,21849.95,21969.6,21321.0,21409.8,21409.8,3070,23180.78,270900,1890,10-AUG-2020,
127,FUTSTK,EQUITAS,27-Aug-2020,0.0,XX,50.35,52.75,50.2,51.35,51.35,2319,9088.61,12775600,1056400,10-AUG-2020,
128,FUTSTK,ESCORTS,27-Aug-2020,0.0,XX,1133.3,1139.2,1100.7,1117.4,1117.4,3565,43886.38,2548700,104500,10-AUG-2020,
131,FUTSTK,EXIDEIND,27-Aug-2020,0.0,XX,162.55,165.0,162.1,163.6,163.6,1150,6772.08,11833200,-273600,10-AUG-2020,
134,FUTSTK,FEDERALBNK,27-Aug-2020,0.0,XX,54.95,55.4,53.7,54.1,54.1,3448,15987.06,80537500,-1555500,10-AUG-2020,
137,FUTSTK,GAIL,27-Aug-2020,0.0,XX,97.75,97.95,96.65,97.6,97.6,1235,7336.42,27004700,-378200,10-AUG-2020,
140,FUTSTK,GLENMARK,27-Aug-2020,0.0,XX,458.3,478.9,458.0,474.05,474.05,4645,50399.0,7090900,593400,10-AUG-2020,
143,FUTSTK,GMRINFRA,27-Aug-2020,0.0,XX,21.4,21.9,21.2,21.55,21.55,530,5158.84,83835000,675000,10-AUG-2020,
146,FUTSTK,GODREJCP,27-Aug-2020,0.0,XX,692.95,697.75,682.0,684.55,684.55,1077,7424.49,4143000,80000,10-AUG-2020,
149,FUTSTK,GODREJPROP,27-Aug-2020,0.0,XX,893.4,910.8,889.35,895.5,895.5,350,2050.44,410800,11700,10-AUG-2020,
152,FUTSTK,GRASIM,27-Aug-2020,0.0,XX,640.9,643.85,630.1,637.4,637.4,2619,15850.48,6855200,106400,10-AUG-2020,
155,FUTSTK,HAVELLS,27-Aug-2020,0.0,XX,616.35,621.65,609.35,614.7,614.7,2543,15646.04,5512000,149000,10-AUG-2020,
158,FUTSTK,HCLTECH,27-Aug-2020,0.0,XX,693.55,696.6,688.5,695.05,695.05,2237,21708.89,16930200,-78400,10-AUG-2020,
161,FUTSTK,HDFC,27-Aug-2020,0.0,XX,1796.2,1815.4,1793.2,1804.4,1804.4,12760,69097.26,29912700,-403500,10-AUG-2020,
164,FUTSTK,HDFCBANK,27-Aug-2020,0.0,XX,1045.15,1062.15,1044.9,1051.25,1051.25,16775,97320.0,33419100,-1293050,10-AUG-2020,
167,FUTSTK,HDFCLIFE,27-Aug-2020,0.0,XX,616.9,619.0,610.05,612.45,612.45,2347,15835.99,11328900,462000,10-AUG-2020,
170,FUTSTK,HEROMOTOCO,27-Aug-2020,0.0,XX,2718.2,2728.85,2681.0,2713.0,2713.0,2527,20454.25,2094000,39300,10-AUG-2020,
173,FUTSTK,HINDALCO,27-Aug-2020,0.0,XX,177.65,179.6,175.05,179.25,179.25,4064,31008.93,27365200,-38700,10-AUG-2020,
176,FUTSTK,HINDPETRO,27-Aug-2020,0.0,XX,216.25,218.8,214.05,216.4,216.4,3832,22442.21,26716500,-847800,10-AUG-2020,
179,FUTSTK,HINDUNILVR,27-Aug-2020,0.0,XX,2228.85,2235.0,2210.2,2218.9,2218.9,4596,30611.97,14799000,45600,10-AUG-2020,
182,FUTSTK,IBULHSGFIN,27-Aug-2020,0.0,XX,195.05,213.6,194.95,205.8,205.8,8477,54255.83,14845900,1832100,10-AUG-2020,
