,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
4180,OPTSTK,ACC,27-Aug-2020,800.0,CE,0.0,0.0,0.0,489.5,601.85,0,0.0,0,0,10-AUG-2020,
4181,OPTSTK,ACC,27-Aug-2020,820.0,CE,0.0,0.0,0.0,471.4,581.85,0,0.0,0,0,10-AUG-2020,
4182,OPTSTK,ACC,27-Aug-2020,840.0,CE,0.0,0.0,0.0,453.6,561.9,0,0.0,0,0,10-AUG-2020,
4183,OPTSTK,ACC,27-Aug-2020,860.0,CE,0.0,0.0,0.0,436.05,541.95,0,0.0,0,0,10-AUG-2020,
4184,OPTSTK,ACC,27-Aug-2020,880.0,CE,0.0,0.0,0.0,418.8,522.0,0,0.0,0,0,10-AUG-2020,
4185,OPTSTK,ACC,27-Aug-2020,900.0,CE,0.0,0.0,0.0,401.9,502.05,0,0.0,0,0,10-AUG-2020,
4186,OPTSTK,ACC,27-Aug-2020,920.0,CE,0.0,0.0,0.0,385.3,482.05,0,0.0,0,0,10-AUG-2020,
4187,OPTSTK,ACC,27-Aug-2020,940.0,CE,0.0,0.0,0.0,369.05,462.1,0,0.0,0,0,10-AUG-2020,
4188,OPTSTK,ACC,27-Aug-2020,960.0,CE,0.0,0.0,0.0,353.2,442.15,0,0.0,0,0,10-AUG-2020,
4189,OPTSTK,ACC,27-Aug-2020,980.0,CE,0.0,0.0,0.0,337.75,422.2,0,0.0,0,0,10-AUG-2020,
4190,OPTSTK,ACC,27-Aug-2020,1000.0,CE,0.0,0.0,0.0,322.65,402.25,0,0.0,0,0,10-AUG-2020,
4191,OPTSTK,ACC,27-Aug-2020,1020.0,CE,0.0,0.0,0.0,308.05,382.25,0,0.0,0,0,10-AUG-2020,
4192,OPTSTK,ACC,27-Aug-2020,1040.0,CE,0.0,0.0,0.0,293.8,362.3,0,0.0,0,0,10-AUG-2020,
4193,OPTSTK,ACC,27-Aug-2020,1060.0,CE,0.0,0.0,0.0,280.0,342.35,0,0.0,0,0,10-AUG-2020,
4194,OPTSTK,ACC,27-Aug-2020,1080.0,CE,0.0,0.0,0.0,266.6,322.4,0,0.0,0,0,10-AUG-2020,
4195,OPTSTK,ACC,27-Aug-2020,1100.0,CE,0.0,0.0,0.0,253.65,302.45,0,0.0,0,0,10-AUG-2020,
4196,OPTSTK,ACC,27-Aug-2020,1120.0,CE,0.0,0.0,0.0,241.1,282.5,0,0.0,0,0,10-AUG-2020,
4197,OPTSTK,ACC,27-Aug-2020,1140.0,CE,0.0,0.0,0.0,229.05,262.55,0,0.0,0,0,10-AUG-2020,
4198,OPTSTK,ACC,27-Aug-2020,1160.0,CE,0.0,0.0,0.0,249.0,242.7,0,0.0,500,0,10-AUG-2020,
4199,OPTSTK,ACC,27-Aug-2020,1180.0,CE,0.0,0.0,0.0,206.25,222.9,0,0.0,0,0,10-AUG-2020,
4200,OPTSTK,ACC,27-Aug-2020,1200.0,CE,0.0,0.0,0.0,250.0,203.2,0,0.0,3000,0,10-AUG-2020,
4201,OPTSTK,ACC,27-Aug-2020,1220.0,CE,0.0,0.0,0.0,185.25,183.75,0,0.0,0,0,10-AUG-2020,
4202,OPTSTK,ACC,27-Aug-2020,1240.0,CE,0.0,0.0,0.0,175.35,164.6,0,0.0,0,0,10-AUG-2020,
4203,OPTSTK,ACC,27-Aug-2020,1260.0,CE,0.0,0.0,0.0,165.9,145.95,0,0.0,0,0,10-AUG-2020,
4204,OPTSTK,ACC,27-Aug-2020,1280.0,CE,0.0,0.0,0.0,92.0,127.9,0,0.0,500,0,10-AUG-2020,
4205,OPTSTK,ACC,27-Aug-2020,1300.0,CE,0.0,0.0,0.0,146.15,110.65,0,0.0,2500,0,10-AUG-2020,
4206,OPTSTK,ACC,27-Aug-2020,1320.0,CE,0.0,0.0,0.0,95.0,94.4,0,0.0,1500,0,10-AUG-2020,
4207,OPTSTK,ACC,27-Aug-2020,1340.0,CE,0.0,0.0,0.0,97.0,79.4,0,0.0,1000,0,10-AUG-2020,
4208,OPTSTK,ACC,27-Aug-2020,1360.0,CE,0.0,0.0,0.0,68.1,65.7,0,0.0,5500,0,10-AUG-2020,
4209,OPTSTK,ACC,27-Aug-2020,1380.0,CE,55.45,55.45,55.45,55.45,53.5,1,7.17,3500,500,10-AUG-2020,
4210,OPTSTK,ACC,27-Aug-2020,1400.0,CE,45.35,48.45,38.6,46.0,46.0,161,1161.61,43500,6000,10-AUG-2020,
4211,OPTSTK,ACC,27-Aug-2020,1420.0,CE,37.5,40.0,30.65,37.75,37.75,127,923.65,39500,-2000,10-AUG-2020,
4212,OPTSTK,ACC,27-Aug-2020,1440.0,CE,30.2,30.2,24.0,29.05,29.05,82,601.48,48000,2500,10-AUG-2020,
4213,OPTSTK,ACC,27-Aug-2020,1460.0,CE,21.0,22.9,18.5,22.45,22.45,68,503.36,63500,6000,10-AUG-2020,
4214,OPTSTK,ACC,27-Aug-2020,1480.0,CE,16.7,17.3,14.0,16.5,16.5,33,246.73,29500,1500,10-AUG-2020,
4215,OPTSTK,ACC,27-Aug-2020,1500.0,CE,13.05,14.0,10.75,13.25,13.25,279,2109.39,114500,8500,10-AUG-2020,
4216,OPTSTK,ACC,27-Aug-2020,1520.0,CE,9.4,9.4,9.4,9.4,7.65,2,15.29,6500,500,10-AUG-2020,
4217,OPTSTK,ACC,27-Aug-2020,1540.0,CE,9.35,9.35,9.35,9.35,9.35,1,7.74,14500,500,10-AUG-2020,
4218,OPTSTK,ACC,27-Aug-2020,1560.0,CE,4.8,6.2,4.8,6.2,6.2,8,62.6,26500,-1500,10-AUG-2020,
4219,OPTSTK,ACC,27-Aug-2020,1580.0,CE,0.0,0.0,0.0,7.0,2.5,0,0.0,6000,0,10-AUG-2020,
4220,OPTSTK,ACC,27-Aug-2020,1600.0,CE,4.25,4.25,2.75,3.35,3.35,31,248.47,39000,500,10-AUG-2020,
4221,OPTSTK,ACC,27-Aug-2020,1620.0,CE,0.0,0.0,0.0,6.25,1.1,0,0.0,6500,0,10-AUG-2020,
4222,OPTSTK,ACC,27-Aug-2020,1640.0,CE,2.8,2.8,2.0,2.0,0.7,3,24.63,5000,0,10-AUG-2020,
4223,OPTSTK,ACC,27-Aug-2020,1660.0,CE,0.0,0.0,0.0,49.1,0.45,0,0.0,0,0,10-AUG-2020,
4224,OPTSTK,ACC,27-Aug-2020,1680.0,CE,2.5,2.5,1.5,1.5,0.3,2,16.82,2500,500,10-AUG-2020,
4434,OPTSTK,ADANIENT,27-Aug-2020,82.5,CE,0.0,0.0,0.0,95.0,113.35,0,0.0,0,0,10-AUG-2020,
4435,OPTSTK,ADANIENT,27-Aug-2020,85.0,CE,0.0,0.0,0.0,59.15,110.85,0,0.0,0,0,10-AUG-2020,
4436,OPTSTK,ADANIENT,27-Aug-2020,87.5,CE,0.0,0.0,0.0,56.8,108.35,0,0.0,0,0,10-AUG-2020,
4437,OPTSTK,ADANIENT,27-Aug-2020,90.0,CE,0.0,0.0,0.0,54.5,105.9,0,0.0,0,0,10-AUG-2020,
4438,OPTSTK,ADANIENT,27-Aug-2020,92.5,CE,0.0,0.0,0.0,52.2,103.4,0,0.0,0,0,10-AUG-2020,
4439,OPTSTK,ADANIENT,27-Aug-2020,95.0,CE,0.0,0.0,0.0,49.95,100.9,0,0.0,0,0,10-AUG-2020,
4440,OPTSTK,ADANIENT,27-Aug-2020,97.5,CE,0.0,0.0,0.0,47.75,98.4,0,0.0,0,0,10-AUG-2020,
4441,OPTSTK,ADANIENT,27-Aug-2020,100.0,CE,0.0,0.0,0.0,45.6,95.9,0,0.0,0,0,10-AUG-2020,
4442,OPTSTK,ADANIENT,27-Aug-2020,102.5,CE,0.0,0.0,0.0,43.45,93.4,0,0.0,0,0,10-AUG-2020,
4443,OPTSTK,ADANIENT,27-Aug-2020,105.0,CE,0.0,0.0,0.0,41.4,90.9,0,0.0,0,0,10-AUG-2020,
4444,OPTSTK,ADANIENT,27-Aug-2020,107.5,CE,0.0,0.0,0.0,39.35,88.4,0,0.0,0,0,10-AUG-2020,
4445,OPTSTK,ADANIENT,27-Aug-2020,110.0,CE,0.0,0.0,0.0,37.4,85.9,0,0.0,0,0,10-AUG-2020,
4446,OPTSTK,ADANIENT,27-Aug-2020,112.5,CE,0.0,0.0,0.0,35.5,83.4,0,0.0,0,0,10-AUG-2020,
4447,OPTSTK,ADANIENT,27-Aug-2020,115.0,CE,0.0,0.0,0.0,33.65,80.95,0,0.0,0,0,10-AUG-2020,
4448,OPTSTK,ADANIENT,27-Aug-2020,117.5,CE,0.0,0.0,0.0,31.85,78.45,0,0.0,0,0,10-AUG-2020,
4449,OPTSTK,ADANIENT,27-Aug-2020,120.0,CE,0.0,0.0,0.0,30.1,75.95,0,0.0,0,0,10-AUG-2020,
4450,OPTSTK,ADANIENT,27-Aug-2020,122.5,CE,0.0,0.0,0.0,28.45,73.45,0,0.0,0,0,10-AUG-2020,
4451,OPTSTK,ADANIENT,27-Aug-2020,125.0,CE,0.0,0.0,0.0,26.85,70.95,0,0.0,0,0,10-AUG-2020,
4452,OPTSTK,ADANIENT,27-Aug-2020,127.5,CE,0.0,0.0,0.0,25.3,68.45,0,0.0,0,0,10-AUG-2020,
4453,OPTSTK,ADANIENT,27-Aug-2020,130.0,CE,0.0,0.0,0.0,23.8,65.95,0,0.0,0,0,10-AUG-2020,
4454,OPTSTK,ADANIENT,27-Aug-2020,132.5,CE,0.0,0.0,0.0,22.4,63.45,0,0.0,0,0,10-AUG-2020,
4455,OPTSTK,ADANIENT,27-Aug-2020,135.0,CE,0.0,0.0,0.0,21.05,60.95,0,0.0,0,0,10-AUG-2020,
4456,OPTSTK,ADANIENT,27-Aug-2020,137.5,CE,0.0,0.0,0.0,19.75,58.5,0,0.0,0,0,10-AUG-2020,
4457,OPTSTK,ADANIENT,27-Aug-2020,140.0,CE,0.0,0.0,0.0,18.55,56.0,0,0.0,0,0,10-AUG-2020,
4458,OPTSTK,ADANIENT,27-Aug-2020,142.5,CE,0.0,0.0,0.0,17.35,53.5,0,0.0,0,0,10-AUG-2020,
4459,OPTSTK,ADANIENT,27-Aug-2020,145.0,CE,0.0,0.0,0.0,16.25,51.0,0,0.0,0,0,10-AUG-2020,
4460,OPTSTK,ADANIENT,27-Aug-2020,147.5,CE,0.0,0.0,0.0,15.2,48.5,0,0.0,0,0,10-AUG-2020,
4461,OPTSTK,ADANIENT,27-Aug-2020,150.0,CE,0.0,0.0,0.0,39.5,46.05,0,0.0,4000,0,10-AUG-2020,
4462,OPTSTK,ADANIENT,27-Aug-2020,152.5,CE,0.0,0.0,0.0,13.3,43.6,0,0.0,0,0,10-AUG-2020,
4463,OPTSTK,ADANIENT,27-Aug-2020,155.0,CE,0.0,0.0,0.0,12.4,41.1,0,0.0,0,0,10-AUG-2020,
4464,OPTSTK,ADANIENT,27-Aug-2020,157.5,CE,0.0,0.0,0.0,11.55,38.7,0,0.0,0,0,10-AUG-2020,
4465,OPTSTK,ADANIENT,27-Aug-2020,160.0,CE,0.0,0.0,0.0,18.95,36.25,0,0.0,28000,0,10-AUG-2020,
4466,OPTSTK,ADANIENT,27-Aug-2020,162.5,CE,0.0,0.0,0.0,23.0,33.9,0,0.0,4000,0,10-AUG-2020,
4467,OPTSTK,ADANIENT,27-Aug-2020,165.0,CE,0.0,0.0,0.0,30.0,31.55,0,0.0,0,0,10-AUG-2020,
4468,OPTSTK,ADANIENT,27-Aug-2020,167.5,CE,0.0,0.0,0.0,14.1,29.2,0,0.0,28000,0,10-AUG-2020,
4469,OPTSTK,ADANIENT,27-Aug-2020,170.0,CE,28.35,28.35,28.35,28.35,26.95,1,7.93,36000,0,10-AUG-2020,
