SYMBOL,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
ACC,OPTSTK,ACC,27-Aug-2020,800.0,PE,0.0,0.0,0.0,7.6,0.05,0,0.0,0,5500,10-AUG-2020,
ADANIENT,OPTSTK,ADANIENT,27-Aug-2020,82.5,PE,0.0,0.0,0.0,0.35,0.05,0,0.0,0,76000,10-AUG-2020,
ADANIPORTS,OPTSTK,ADANIPORTS,27-Aug-2020,210.0,PE,0.0,0.0,0.0,4.6,0.05,0,0.0,0,15000,10-AUG-2020,
AMARAJABAT,OPTSTK,AMARAJABAT,27-Aug-2020,370.0,PE,0.0,0.0,0.0,4.65,0.05,0,0.0,0,16000,10-AUG-2020,
AMBUJACEM,OPTSTK,AMBUJACEM,27-Aug-2020,132.5,PE,0.0,0.0,0.0,1.65,0.05,0,0.0,0,21000,10-AUG-2020,
APOLLOHOSP,OPTSTK,APOLLOHOSP,27-Aug-2020,1000.0,PE,0.0,0.0,0.0,35.35,0.05,0,0.0,0,13000,10-AUG-2020,
APOLLOTYRE,OPTSTK,APOLLOTYRE,27-Aug-2020,57.5,PE,0.05,0.05,0.05,0.05,0.05,1,2.87,10000,250000,10-AUG-2020,
ASHOKLEY,OPTSTK,ASHOKLEY,27-Aug-2020,24.0,PE,0.0,0.0,0.0,0.65,0.05,0,0.0,0,576000,10-AUG-2020,
ASIANPAINT,OPTSTK,ASIANPAINT,27-Aug-2020,1300.0,PE,0.0,0.0,0.0,35.6,0.05,0,0.0,0,600,10-AUG-2020,
AUROPHARMA,OPTSTK,AUROPHARMA,27-Aug-2020,440.0,PE,0.0,0.0,0.0,13.4,0.05,0,0.0,0,234000,10-AUG-2020,
AXISBANK,OPTSTK,AXISBANK,27-Aug-2020,230.0,PE,0.0,0.0,0.0,0.25,0.05,0,0.0,6000,102000,10-AUG-2020,
BAJAJ-AUTO,OPTSTK,BAJAJ-AUTO,27-Aug-2020,1600.0,PE,0.0,0.0,0.0,17.85,0.05,0,0.0,0,1750,10-AUG-2020,
BAJAJFINSV,OPTSTK,BAJAJFINSV,27-Aug-2020,3100.0,PE,0.0,0.0,0.0,185.05,0.05,0,0.0,0,4125,10-AUG-2020,
BAJFINANCE,OPTSTK,BAJFINANCE,27-Aug-2020,1050.0,PE,0.0,0.0,0.0,34.1,0.05,0,0.0,0,39750,10-AUG-2020,
BALKRISIND,OPTSTK,BALKRISIND,27-Aug-2020,700.0,PE,0.0,0.0,0.0,10.2,0.05,0,0.0,0,20800,10-AUG-2020,
BANDHANBNK,OPTSTK,BANDHANBNK,27-Aug-2020,120.0,PE,0.0,0.0,0.0,7.95,0.05,0,0.0,0,108000,10-AUG-2020,
BANKBARODA,OPTSTK,BANKBARODA,27-Aug-2020,23.0,PE,0.0,0.0,0.0,0.1,0.05,0,0.0,16400,688800,10-AUG-2020,
BATAINDIA,OPTSTK,BATAINDIA,27-Aug-2020,960.0,PE,0.0,0.0,0.0,21.25,0.05,0,0.0,0,73150,10-AUG-2020,
BEL,OPTSTK,BEL,27-Aug-2020,46.0,PE,0.0,0.0,0.0,1.35,0.05,0,0.0,0,904400,10-AUG-2020,
BERGEPAINT,OPTSTK,BERGEPAINT,27-Aug-2020,310.0,PE,0.0,0.0,0.0,1.95,0.05,0,0.0,0,11000,10-AUG-2020,
BHARATFORG,OPTSTK,BHARATFORG,27-Aug-2020,195.0,PE,0.0,0.0,0.0,0.05,0.05,0,0.0,1500,97500,10-AUG-2020,
BHARTIARTL,OPTSTK,BHARTIARTL,27-Aug-2020,340.0,PE,0.0,0.0,0.0,5.4,0.05,0,0.0,0,259140,10-AUG-2020,
BHEL,OPTSTK,BHEL,27-Aug-2020,15.0,PE,0.0,0.0,0.0,0.5,0.05,0,0.0,0,273000,10-AUG-2020,
BIOCON,OPTSTK,BIOCON,27-Aug-2020,230.0,PE,0.0,0.0,0.0,0.95,0.05,0,0.0,0,29900,10-AUG-2020,
BOSCHLTD,OPTSTK,BOSCHLTD,27-Aug-2020,5750.0,PE,0.0,0.0,0.0,23.5,0.05,0,0.0,0,50,10-AUG-2020,
BPCL,OPTSTK,BPCL,27-Aug-2020,210.0,PE,0.0,0.0,0.0,4.45,0.05,0,0.0,0,106200,10-AUG-2020,
BRITANNIA,OPTSTK,BRITANNIA,27-Aug-2020,2150.0,PE,0.0,0.0,0.0,10.95,0.05,0,0.0,0,7000,10-AUG-2020,
CADILAHC,OPTSTK,CADILAHC,27-Aug-2020,225.0,PE,0.0,0.0,0.0,2.0,0.05,0,0.0,0,63800,10-AUG-2020,
CANBK,OPTSTK,CANBK,27-Aug-2020,47.5,PE,0.0,0.0,0.0,0.05,0.05,0,0.0,5000,0,10-AUG-2020,
CENTURYTEX,OPTSTK,CENTURYTEX,27-Aug-2020,160.0,PE,0.0,0.0,0.0,2.65,0.05,0,0.0,0,0,10-AUG-2020,
CHOLAFIN,OPTSTK,CHOLAFIN,27-Aug-2020,75.0,PE,0.1,0.1,0.1,0.1,0.05,1,1.87,2500,5000,10-AUG-2020,
CIPLA,OPTSTK,CIPLA,27-Aug-2020,410.0,PE,0.0,0.0,0.0,3.25,0.05,0,0.0,0,512200,10-AUG-2020,
COALINDIA,OPTSTK,COALINDIA,27-Aug-2020,85.0,PE,0.0,0.0,0.0,0.45,0.05,0,0.0,0,133200,10-AUG-2020,
