SYMBOL     ,STRIKE_PR ,OPEN    ,HIGH    ,LOW     ,CLOSE    ,SETTLE_PR ,CONTRACTS ,VAL_INLAKH ,OPEN_INT  ,CHG_IN_OI ,Unnamed: 15
ACC        ,2460.0    ,82.8    ,82.8    ,80.95   ,728.4    ,839.25    ,392       ,4161.61    ,165000    ,27500     ,
ADANIENT   ,1880.0    ,238.6   ,238.6   ,232.5   ,530.0    ,672.6     ,1163      ,19139.25   ,841000    ,106000    ,
ADANIPORTS ,1030.0    ,112.5   ,112.5   ,112.5   ,254.95   ,204.8     ,851       ,8603.54    ,2461250   ,158750    ,
AMARAJABAT ,1160.0    ,48.0    ,48.0    ,45.0    ,258.9    ,196.45    ,347       ,2657.89    ,1543000   ,59000     ,
AMBUJACEM  ,420.0     ,25.0    ,25.1    ,23.0    ,121.1    ,145.85    ,229       ,2445.28    ,840000    ,69000     ,
APOLLOHOSP ,4300.0    ,695.0   ,695.0   ,695.0   ,1168.5   ,1584.4    ,2586      ,24654.05   ,150000    ,24750     ,
APOLLOTYRE ,300.0     ,16.4    ,18.85   ,16.4    ,66.0     ,78.3      ,617       ,3653.51    ,2072500   ,85000     ,
ASHOKLEY   ,157.5     ,15.3    ,15.45   ,15.3    ,31.75    ,37.8      ,2952      ,17317.33   ,8901000   ,1426500   ,
ASIANPAINT ,3700.0    ,151.0   ,157.6   ,140.9   ,1030.0   ,1146.95   ,1241      ,11487.21   ,186600    ,5700      ,
AUROPHARMA ,1220.0    ,77.0    ,85.0    ,77.0    ,347.8    ,339.85    ,1328      ,8806.42    ,648050    ,23400     ,
AXISBANK   ,920.0     ,56.3    ,60.0    ,53.6    ,241.9    ,257.9     ,2544      ,23536.25   ,4304400   ,114000    ,
BAJAJ-AUTO ,5100.0    ,183.0   ,185.8   ,163.45  ,1122.85  ,1462.3    ,5930      ,63432.11   ,185250    ,87500     ,
BAJAJFINSV ,14500.0   ,2070.0  ,2070.0  ,2070.0  ,4100.6   ,4636.55   ,1200      ,11428.58   ,57825     ,16950     ,
BAJFINANCE ,7400.0    ,1195.85 ,1223.05 ,1195.85 ,2400.0   ,2576.7    ,2796      ,21754.15   ,248625    ,43875     ,
BALKRISIND ,2660.0    ,285.25  ,285.25  ,285.25  ,699.1    ,1197.9    ,427       ,4030.0     ,92800     ,3600      ,
BANDHANBNK ,470.0     ,33.6    ,33.6    ,30.65   ,128.45   ,117.0     ,434       ,2783.5     ,1357200   ,201600    ,
BANKBARODA ,105.0     ,22.45   ,22.45   ,22.45   ,23.1     ,41.2      ,1055      ,11469.61   ,16695900  ,386100    ,
BATAINDIA  ,1980.0    ,41.15   ,44.0    ,36.85   ,403.15   ,639.5     ,280       ,2526.53    ,150700    ,4950      ,
